year,10 year MA global,10 year MA Dublin,10 year MA New York
1971,8.63,8.71,9.66
1972,8.6,8.74,9.67
1973,8.61,8.84,9.84
1974,8.62,8.82,9.85
1975,8.64,8.93,9.94
1976,8.61,8.95,9.92
1977,8.63,8.96,9.99
1978,8.65,8.96,9.93
1979,8.66,8.91,9.96
1980,8.69,8.9,9.96
1981,8.74,8.84,9.96
1982,8.76,8.89,9.99
1983,8.77,8.92,9.94
1984,8.79,8.95,9.96
1985,8.78,8.85,9.93
1986,8.83,8.74,9.99
1987,8.84,8.72,10.03
1988,8.89,8.75,10.1
1989,8.91,8.89,10.07
1990,8.94,8.97,10.21
1991,8.94,8.99,10.36
1992,8.96,8.99,10.33
1993,8.94,8.94,10.29
1994,8.98,8.95,10.26
1995,9.05,9.09,10.26
1996,9.07,9.17,10.23
1997,9.09,9.3,10.19
1998,9.12,9.35,10.38
1999,9.16,9.37,10.53
2000,9.15,9.36,10.4
2001,9.18,9.38,10.35
2002,9.25,9.44,10.52
2003,9.32,9.54,10.5
2004,9.34,9.6,10.54
2005,9.38,9.62,10.59
2006,9.43,9.73,10.76
2007,9.48,9.75,10.82
2008,9.47,9.72,10.7
2009,9.49,9.69,10.6
2010,9.54,9.59,10.74
2011,9.55,9.64,10.77
2012,9.55,9.59,10.84
2013,9.56,9.54,11.08
