year,city,country,avg_temp
1931,Dublin,Ireland,8.71
1932,Dublin,Ireland,8.99
1933,Dublin,Ireland,9.36
1934,Dublin,Ireland,9.36
1935,Dublin,Ireland,8.95
1936,Dublin,Ireland,8.83
1937,Dublin,Ireland,8.78
1938,Dublin,Ireland,9.35
1939,Dublin,Ireland,9.13
1940,Dublin,Ireland,8.87
1941,Dublin,Ireland,8.55
1942,Dublin,Ireland,8.71
1943,Dublin,Ireland,9.33
1944,Dublin,Ireland,9.07
1945,Dublin,Ireland,9.75
1946,Dublin,Ireland,8.82
1947,Dublin,Ireland,8.80
1948,Dublin,Ireland,9.34
1949,Dublin,Ireland,9.85
1950,Dublin,Ireland,8.70
1951,Dublin,Ireland,8.48
1952,Dublin,Ireland,8.56
1953,Dublin,Ireland,9.39
1954,Dublin,Ireland,8.67
1955,Dublin,Ireland,8.85
1956,Dublin,Ireland,8.66
1957,Dublin,Ireland,9.33
1958,Dublin,Ireland,8.91
1959,Dublin,Ireland,9.72
1960,Dublin,Ireland,8.98
1961,Dublin,Ireland,9.08
1962,Dublin,Ireland,8.24
1963,Dublin,Ireland,8.04
1964,Dublin,Ireland,8.99
1965,Dublin,Ireland,8.31
1966,Dublin,Ireland,8.88
1967,Dublin,Ireland,8.83
1968,Dublin,Ireland,8.85
1969,Dublin,Ireland,8.61
1970,Dublin,Ireland,8.94
1971,Dublin,Ireland,9.40
1972,Dublin,Ireland,8.56
1973,Dublin,Ireland,9.06
1974,Dublin,Ireland,8.76
1975,Dublin,Ireland,9.37
1976,Dublin,Ireland,9.16
1977,Dublin,Ireland,8.84
1978,Dublin,Ireland,8.89
1979,Dublin,Ireland,8.12
1980,Dublin,Ireland,8.85
1981,Dublin,Ireland,8.78
1982,Dublin,Ireland,9.08
1983,Dublin,Ireland,9.37
1984,Dublin,Ireland,9.07
1985,Dublin,Ireland,8.34
1986,Dublin,Ireland,8.03
1987,Dublin,Ireland,8.66
1988,Dublin,Ireland,9.16
1989,Dublin,Ireland,9.57
1990,Dublin,Ireland,9.59
1991,Dublin,Ireland,9.07
1992,Dublin,Ireland,9.07
1993,Dublin,Ireland,8.85
1994,Dublin,Ireland,9.13
1995,Dublin,Ireland,9.75
1996,Dublin,Ireland,8.85
1997,Dublin,Ireland,9.95
1998,Dublin,Ireland,9.71
1999,Dublin,Ireland,9.75
2000,Dublin,Ireland,9.43
2001,Dublin,Ireland,9.27
2002,Dublin,Ireland,9.75
2003,Dublin,Ireland,9.80
2004,Dublin,Ireland,9.77
2005,Dublin,Ireland,9.91
2006,Dublin,Ireland,10.00
2007,Dublin,Ireland,10.11
2008,Dublin,Ireland,9.42
2009,Dublin,Ireland,9.47
2010,Dublin,Ireland,8.38
2011,Dublin,Ireland,9.76
2012,Dublin,Ireland,9.28
2013,Dublin,Ireland,9.28
